epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.289,0.2103448275862069,0.30701754385964913,0.37857142857142856,1.085,0.2103448275862069,1.305263157894737,2.0,0.052,0.06551724137931035,0.05263157894736842,0.02142857142857143,0.93845,0.9974000000000001,-0.9714499999999999,0.47,0.229,0.457,0.314,0.235,0.0,0.765,0.0995
1,0.295,0.23793103448275862,0.312280701754386,0.34285714285714286,1.064,0.24482758620689654,1.2578947368421052,1.9714285714285715,0.071,0.1,0.056140350877192984,0.07142857142857142,0.86144,0.9938500000000001,-0.91599,0.442,0.219,0.498,0.283,0.218,0.004,0.778,0.09900250000000001
2,0.276,0.21724137931034482,0.2894736842105263,0.34285714285714286,1.008,0.2517241379310345,1.1807017543859648,1.8714285714285714,0.067,0.0896551724137931,0.06315789473684211,0.03571428571428571,0.8006700000000001,0.9904999999999999,-0.88023,0.378,0.217,0.558,0.225,0.176,0.018,0.806,0.0985074875
3,0.29,0.21379310344827587,0.30526315789473685,0.38571428571428573,0.975,0.2689655172413793,1.1228070175438596,1.8357142857142856,0.062,0.08620689655172414,0.05964912280701754,0.02142857142857143,0.7557,0.9874,-0.86803,0.326,0.212,0.601,0.187,0.148,0.023,0.829,0.09801495006250001
4,0.283,0.21379310344827587,0.29473684210526313,0.37857142857142856,0.96,0.3,1.0859649122807018,1.8142857142857143,0.058,0.05862068965517241,0.06315789473684211,0.03571428571428571,0.72071,0.9845,-0.86701,0.299,0.203,0.634,0.163,0.136,0.026,0.838,0.09752487531218751
5,0.311,0.296551724137931,0.2964912280701754,0.4,0.971,0.38620689655172413,1.0719298245614035,1.7714285714285714,0.063,0.08620689655172414,0.05789473684210526,0.03571428571428571,0.6862699999999999,0.9813500000000002,-0.8735600000000001,0.344,0.178,0.673,0.149,0.153,0.032,0.815,0.09703725093562657
6,0.318,0.32068965517241377,0.30526315789473685,0.36428571428571427,0.967,0.42758620689655175,1.0526315789473684,1.7357142857142858,0.082,0.12758620689655173,0.07368421052631578,0.02142857142857143,0.65574,0.9772500000000003,-0.85447,0.351,0.166,0.701,0.133,0.154,0.037,0.809,0.09655206468094843
7,0.323,0.31724137931034485,0.312280701754386,0.37857142857142856,0.966,0.43103448275862066,1.050877192982456,1.7285714285714286,0.081,0.11724137931034483,0.07368421052631578,0.03571428571428571,0.62812,0.9732000000000001,-0.8573799999999999,0.351,0.165,0.704,0.131,0.154,0.038,0.808,0.09606930435754368
8,0.335,0.29310344827586204,0.3456140350877193,0.37857142857142856,0.974,0.43103448275862066,1.0719298245614035,1.7,0.075,0.1103448275862069,0.06315789473684211,0.05,0.61054,0.9694500000000001,-0.88142,0.376,0.165,0.696,0.139,0.166,0.042,0.792,0.09558895783575597
9,0.36,0.35517241379310344,0.3543859649122807,0.39285714285714285,0.992,0.5,1.0736842105263158,1.6785714285714286,0.084,0.12413793103448276,0.07543859649122807,0.03571428571428571,0.58198,0.9652500000000002,-0.8794399999999999,0.422,0.145,0.718,0.137,0.187,0.045,0.768,0.09511101304657718
