seed,num_epochs_run,converged,convergence_epoch,final_average_ai_usage,final_average_global_trust,final_average_offer,final_detection_rate,final_correct_match_rate,final_overoffer_rate,final_underoffer_rate,final_average_candidate_loss,final_average_company_loss
7,100,False,,0.053,0.9975500000000004,1.102,0.011,0.714,0.249,0.037,-1.09455,0.346
42,100,False,,0.039,0.990150000000001,1.058,0.006,0.734,0.237,0.029,-1.05726,0.307
99,100,False,,0.039,0.9873000000000006,1.072,0.013,0.75,0.216,0.034,-1.05859,0.3
123,100,False,,0.064,0.9921500000000009,1.108,0.018,0.682,0.283,0.035,-1.0891499999999998,0.389
271,100,False,,0.053,0.9884500000000012,1.057,0.013,0.659,0.304,0.037,-1.0455,0.406
314,100,False,,0.068,0.9956500000000006,1.062,0.019,0.672,0.295,0.033,-1.04189,0.401
555,100,False,,0.033,0.9880500000000018,1.105,0.005,0.687,0.254,0.059,-1.1054000000000002,0.39
1337,100,False,,0.085,0.9891500000000006,1.104,0.016,0.662,0.291,0.047,-1.0888300000000002,0.439
2024,100,False,,0.06,0.9921000000000018,1.039,0.013,0.643,0.333,0.024,-1.0269899999999998,0.417
8675309,100,False,,0.065,0.9951500000000003,1.142,0.017,0.758,0.202,0.04,-1.1217900000000003,0.319
