epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.282,0.24193548387096775,0.34285714285714286,0.195,1.129,0.24193548387096775,1.3346938775510204,2.0,0.068,0.09032258064516129,0.07755102040816327,0.01,0.92062,0.9965999999999999,-0.9816199999999999,0.478,0.235,0.401,0.364,0.239,0.0,0.761,0.0995
1,0.289,0.2838709677419355,0.336734693877551,0.18,1.099,0.2903225806451613,1.2469387755102042,1.99,0.059,0.07096774193548387,0.0653061224489796,0.025,0.8622000000000001,0.9936500000000003,-0.9815799999999999,0.424,0.22,0.461,0.319,0.211,0.002,0.787,0.09900250000000001
2,0.321,0.3709677419354839,0.3469387755102041,0.18,1.098,0.38387096774193546,1.2020408163265306,1.95,0.09,0.16451612903225807,0.0673469387755102,0.03,0.77859,0.9891500000000001,-0.9243899999999998,0.452,0.191,0.52,0.289,0.218,0.01,0.772,0.0985074875
3,0.316,0.34516129032258064,0.3489795918367347,0.19,1.069,0.3967741935483871,1.1510204081632653,1.91,0.08,0.13870967741935483,0.06938775510204082,0.015,0.7222999999999999,0.9851500000000002,-0.93271,0.414,0.187,0.557,0.256,0.197,0.018,0.785,0.09801495006250001
4,0.318,0.34838709677419355,0.3489795918367347,0.195,1.058,0.432258064516129,1.110204081632653,1.9,0.064,0.1064516129032258,0.05714285714285714,0.015,0.69015,0.9819500000000001,-0.9618499999999999,0.39,0.176,0.59,0.234,0.188,0.02,0.792,0.09752487531218751
5,0.328,0.3903225806451613,0.3469387755102041,0.185,1.055,0.4806451612903226,1.0816326530612246,1.88,0.081,0.14193548387096774,0.06938775510204082,0.015,0.6566099999999999,0.9779000000000002,-0.9404600000000001,0.398,0.161,0.623,0.216,0.189,0.024,0.787,0.09703725093562657
6,0.335,0.4064516129032258,0.35306122448979593,0.18,1.056,0.5193548387096775,1.063265306122449,1.87,0.08,0.13225806451612904,0.07755102040816327,0.005,0.6316099999999999,0.9739000000000001,-0.951,0.401,0.149,0.646,0.205,0.192,0.026,0.782,0.09655206468094843
7,0.348,0.4096774193548387,0.3653061224489796,0.21,1.066,0.5516129032258065,1.0653061224489795,1.865,0.085,0.14193548387096774,0.07346938775510205,0.025,0.60849,0.96965,-0.95788,0.416,0.139,0.656,0.205,0.203,0.027,0.77,0.09606930435754368
8,0.338,0.4290322580645161,0.3551020408163265,0.155,1.071,0.5838709677419355,1.0653061224489795,1.84,0.087,0.17096774193548386,0.06326530612244897,0.015,0.58278,0.9653000000000003,-0.95829,0.442,0.129,0.671,0.2,0.213,0.032,0.755,0.09558895783575597
9,0.341,0.3935483870967742,0.3673469387755102,0.195,1.076,0.5967741935483871,1.0714285714285714,1.83,0.071,0.11935483870967742,0.0673469387755102,0.005,0.57052,0.9617500000000003,-0.99274,0.445,0.125,0.674,0.201,0.22,0.034,0.746,0.09511101304657718
10,0.345,0.3967741935483871,0.3795918367346939,0.18,1.079,0.6129032258064516,1.0673469387755101,1.83,0.092,0.18387096774193548,0.0653061224489796,0.015,0.54984,0.9571500000000002,-0.96632,0.447,0.12,0.681,0.199,0.223,0.034,0.743,0.09463545798134429
11,0.361,0.3709677419354839,0.4306122448979592,0.175,1.108,0.6290322580645161,1.116326530612245,1.83,0.08,0.1064516129032258,0.08979591836734693,0.015,0.53503,0.9531500000000003,-1.01319,0.492,0.115,0.662,0.223,0.252,0.034,0.714,0.09416228069143756
12,0.34,0.35161290322580646,0.41020408163265304,0.15,1.099,0.6419354838709678,1.0918367346938775,1.825,0.087,0.16129032258064516,0.0673469387755102,0.02,0.51975,0.9488000000000003,-0.99672,0.468,0.111,0.679,0.21,0.244,0.035,0.721,0.09369146928798038
13,0.334,0.34516129032258064,0.3836734693877551,0.195,1.095,0.667741935483871,1.0714285714285714,1.815,0.075,0.10967741935483871,0.07142857142857142,0.03,0.50564,0.9450500000000004,-1.00589,0.458,0.103,0.699,0.198,0.242,0.037,0.721,0.09322301194154048
14,0.326,0.3258064516129032,0.38571428571428573,0.18,1.102,0.6774193548387096,1.083673469387755,1.805,0.085,0.12258064516129032,0.08775510204081632,0.02,0.48478000000000004,0.9408000000000003,-0.99614,0.471,0.1,0.698,0.202,0.251,0.039,0.71,0.09275689688183278
15,0.298,0.3193548387096774,0.3224489795918367,0.205,1.082,0.6774193548387096,1.046938775510204,1.795,0.065,0.1064516129032258,0.061224489795918366,0.01,0.48016,0.9375500000000004,-1.01238,0.437,0.1,0.718,0.182,0.233,0.041,0.726,0.09229311239742362
16,0.289,0.33225806451612905,0.29591836734693877,0.205,1.087,0.6870967741935484,1.0510204081632653,1.795,0.073,0.13225806451612904,0.05510204081632653,0.025,0.46891,0.9339000000000004,-1.00275,0.448,0.097,0.719,0.184,0.238,0.041,0.721,0.0918316468354365
17,0.295,0.3580645161290323,0.3081632653061224,0.165,1.119,0.7774193548387097,1.0591836734693878,1.795,0.063,0.13548387096774195,0.03469387755102041,0.02,0.45684,0.9307500000000004,-1.04393,0.492,0.069,0.743,0.188,0.27,0.041,0.689,0.09137248860125932
18,0.302,0.3193548387096774,0.33877551020408164,0.185,1.138,0.7935483870967742,1.0857142857142856,1.8,0.081,0.11290322580645161,0.07551020408163266,0.045,0.43199,0.9267000000000005,-1.0321500000000001,0.509,0.064,0.734,0.202,0.288,0.04,0.672,0.09091562615825302
19,0.28,0.2903225806451613,0.3081632653061224,0.195,1.135,0.8096774193548387,1.0755102040816327,1.785,0.07,0.0935483870967742,0.07755102040816327,0.015,0.4155,0.9232000000000005,-1.04851,0.501,0.059,0.747,0.194,0.288,0.043,0.669,0.09046104802746176
20,0.263,0.27741935483870966,0.2836734693877551,0.19,1.13,0.8161290322580645,1.0612244897959184,1.785,0.065,0.10967741935483871,0.05510204081632653,0.02,0.4122,0.9199500000000006,-1.0617,0.485,0.057,0.756,0.187,0.283,0.043,0.674,0.09000874278732444
21,0.248,0.24516129032258063,0.27755102040816326,0.18,1.128,0.8225806451612904,1.0530612244897959,1.785,0.056,0.07419354838709677,0.06326530612244897,0.01,0.40388,0.9171500000000006,-1.06368,0.469,0.055,0.762,0.183,0.281,0.043,0.676,0.08955869907338782
22,0.219,0.19032258064516128,0.24693877551020407,0.195,1.133,0.8290322580645161,1.0571428571428572,1.79,0.043,0.041935483870967745,0.05510204081632653,0.015,0.39447000000000004,0.9150000000000006,-1.08059,0.456,0.053,0.761,0.186,0.285,0.042,0.673,0.08911090557802087
