epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.424,0.5060606060606061,0.375,0.4052631578947368,1.207,0.5060606060606061,1.375,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.207,0.694,0.163,0.467,0.37,0.347,0.0,0.653,0.0995
1,0.477,0.6606060606060606,0.3770833333333333,0.4105263157894737,1.259,0.6606060606060606,1.3770833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.259,0.798,0.112,0.517,0.371,0.399,0.0,0.601,0.09900250000000001
2,0.525,0.7757575757575758,0.3875,0.4368421052631579,1.302,0.7757575757575758,1.3875,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.302,0.884,0.074,0.55,0.376,0.442,0.0,0.558,0.0985074875
3,0.545,0.8303030303030303,0.39166666666666666,0.4368421052631579,1.322,0.8303030303030303,1.3916666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.322,0.924,0.056,0.566,0.378,0.462,0.0,0.538,0.09801495006250001
4,0.564,0.8939393939393939,0.39375,0.42105263157894735,1.344,0.8939393939393939,1.39375,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.344,0.968,0.035,0.586,0.379,0.484,0.0,0.516,0.09752487531218751
5,0.57,0.9484848484848485,0.3770833333333333,0.4,1.354,0.9484848484848485,1.3770833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.354,0.988,0.017,0.612,0.371,0.494,0.0,0.506,0.09703725093562657
6,0.6,0.9454545454545454,0.41458333333333336,0.46842105263157896,1.371,0.9454545454545454,1.4145833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.371,1.022,0.018,0.593,0.389,0.511,0.0,0.489,0.09655206468094843
7,0.589,0.9454545454545454,0.4083333333333333,0.4263157894736842,1.368,0.9454545454545454,1.4083333333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.368,1.016,0.018,0.596,0.386,0.508,0.0,0.492,0.09606930435754368
8,0.606,0.9545454545454546,0.42916666666666664,0.4473684210526316,1.381,0.9545454545454546,1.4291666666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.381,1.042,0.015,0.589,0.396,0.521,0.0,0.479,0.09558895783575597
9,0.608,0.9424242424242424,0.45625,0.4105263157894737,1.39,0.9424242424242424,1.45625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.39,1.06,0.019,0.572,0.409,0.53,0.0,0.47,0.09511101304657718
10,0.629,0.9575757575757575,0.4875,0.41578947368421054,1.41,0.9575757575757575,1.4875,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.41,1.1,0.014,0.562,0.424,0.55,0.0,0.45,0.09463545798134429
11,0.652,0.9575757575757575,0.5291666666666667,0.43157894736842106,1.43,0.9575757575757575,1.5291666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.43,1.14,0.014,0.542,0.444,0.57,0.0,0.43,0.09416228069143756
12,0.674,0.9484848484848485,0.5791666666666667,0.4368421052631579,1.451,0.9484848484848485,1.5791666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.451,1.182,0.017,0.515,0.468,0.591,0.0,0.409,0.09369146928798038
13,0.694,0.9575757575757575,0.625,0.4105263157894737,1.476,0.9575757575757575,1.625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.476,1.232,0.014,0.496,0.49,0.616,0.0,0.384,0.09322301194154048
14,0.726,0.9484848484848485,0.6958333333333333,0.41578947368421054,1.507,0.9484848484848485,1.6958333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.507,1.294,0.017,0.459,0.524,0.647,0.0,0.353,0.09275689688183278
15,0.744,0.9575757575757575,0.7208333333333333,0.43157894736842106,1.522,0.9575757575757575,1.7208333333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.522,1.324,0.014,0.45,0.536,0.662,0.0,0.338,0.09229311239742362
16,0.741,0.9333333333333333,0.7479166666666667,0.3894736842105263,1.527,0.9333333333333333,1.7479166666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.527,1.334,0.022,0.429,0.549,0.667,0.0,0.333,0.0918316468354365
17,0.75,0.9393939393939394,0.7479166666666667,0.4263157894736842,1.529,0.9393939393939394,1.7479166666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.529,1.338,0.02,0.431,0.549,0.669,0.0,0.331,0.09137248860125932
18,0.759,0.9454545454545454,0.7729166666666667,0.4,1.543,0.9454545454545454,1.7729166666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.543,1.366,0.018,0.421,0.561,0.683,0.0,0.317,0.09091562615825302
19,0.783,0.9424242424242424,0.8083333333333333,0.4421052631578947,1.559,0.9424242424242424,1.8083333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.559,1.398,0.019,0.403,0.578,0.699,0.0,0.301,0.09046104802746176
20,0.786,0.990909090909091,0.7895833333333333,0.42105263157894735,1.566,0.990909090909091,1.7895833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.566,1.412,0.003,0.428,0.569,0.706,0.0,0.294,0.09000874278732444
21,0.811,0.9636363636363636,0.8479166666666667,0.45263157894736844,1.585,0.9636363636363636,1.8479166666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.585,1.45,0.012,0.391,0.597,0.725,0.0,0.275,0.08955869907338782
22,0.798,0.9545454545454546,0.8416666666666667,0.41578947368421054,1.579,0.9545454545454546,1.8416666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.579,1.438,0.015,0.391,0.594,0.719,0.0,0.281,0.08911090557802087
23,0.808,0.9636363636363636,0.8520833333333333,0.4263157894736842,1.587,0.9636363636363636,1.8520833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.587,1.454,0.012,0.389,0.599,0.727,0.0,0.273,0.08866535105013076
24,0.811,0.9575757575757575,0.8625,0.4263157894736842,1.59,0.9575757575757575,1.8625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.59,1.46,0.014,0.382,0.604,0.73,0.0,0.27,0.08822202429488012
25,0.818,0.9606060606060606,0.8729166666666667,0.43157894736842106,1.596,0.9606060606060606,1.8729166666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.596,1.472,0.013,0.378,0.609,0.736,0.0,0.264,0.08778091417340572
26,0.819,0.9545454545454546,0.8791666666666667,0.43157894736842106,1.597,0.9545454545454546,1.8791666666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.597,1.474,0.015,0.373,0.612,0.737,0.0,0.263,0.0873420096025387
27,0.815,0.9515151515151515,0.8729166666666667,0.43157894736842106,1.593,0.9515151515151515,1.8729166666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.593,1.466,0.016,0.375,0.609,0.733,0.0,0.267,0.086905299554526
28,0.826,0.9393939393939394,0.89375,0.45789473684210524,1.599,0.9393939393939394,1.89375,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.599,1.478,0.02,0.361,0.619,0.739,0.0,0.261,0.08647077305675337
29,0.837,0.9575757575757575,0.9125,0.4368421052631579,1.614,0.9575757575757575,1.9125,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.614,1.508,0.014,0.358,0.628,0.754,0.0,0.246,0.0860384191914696
30,0.836,0.9454545454545454,0.925,0.42105263157894735,1.616,0.9454545454545454,1.925,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.616,1.512,0.018,0.348,0.634,0.756,0.0,0.244,0.08560822709551225
31,0.837,0.9575757575757575,0.9229166666666667,0.4105263157894737,1.619,0.9575757575757575,1.9229166666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.619,1.518,0.014,0.353,0.633,0.759,0.0,0.241,0.08518018596003468
32,0.857,0.9575757575757575,0.9583333333333334,0.4263157894736842,1.636,0.9575757575757575,1.9583333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.014,0.336,0.65,0.776,0.0,0.224,0.08475428503023451
33,0.855,0.9757575757575757,0.9458333333333333,0.41578947368421054,1.636,0.9757575757575757,1.9458333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.008,0.348,0.644,0.776,0.0,0.224,0.08433051360508334
34,0.844,0.9454545454545454,0.9375,0.43157894736842106,1.622,0.9454545454545454,1.9375,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.622,1.524,0.018,0.342,0.64,0.762,0.0,0.238,0.08390886103705793
35,0.853,0.9545454545454546,0.9416666666666667,0.45263157894736844,1.627,0.9545454545454546,1.9416666666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.627,1.534,0.015,0.343,0.642,0.767,0.0,0.233,0.08348931673187264
36,0.852,0.9606060606060606,0.94375,0.43157894736842106,1.63,0.9606060606060606,1.94375,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.63,1.54,0.013,0.344,0.643,0.77,0.0,0.23,0.08307187014821328
37,0.854,0.9787878787878788,0.9416666666666667,0.41578947368421054,1.635,0.9787878787878788,1.9416666666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.635,1.55,0.007,0.351,0.642,0.775,0.0,0.225,0.08265651079747222
38,0.835,0.9606060606060606,0.9125,0.42105263157894735,1.615,0.9606060606060606,1.9125,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.615,1.51,0.013,0.359,0.628,0.755,0.0,0.245,0.08224322824348486
39,0.861,0.9606060606060606,0.95,0.4631578947368421,1.633,0.9606060606060606,1.95,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.633,1.546,0.013,0.341,0.646,0.773,0.0,0.227,0.08183201210226744
40,0.851,0.9545454545454546,0.9479166666666666,0.4263157894736842,1.63,0.9545454545454546,1.9479166666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.63,1.54,0.015,0.34,0.645,0.77,0.0,0.23,0.0814228520417561
41,0.844,0.9575757575757575,0.9395833333333333,0.4052631578947368,1.627,0.9575757575757575,1.9395833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.627,1.534,0.014,0.345,0.641,0.767,0.0,0.233,0.08101573778154732
42,0.86,0.9484848484848485,0.9645833333333333,0.4421052631578947,1.636,0.9484848484848485,1.9645833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.017,0.33,0.653,0.776,0.0,0.224,0.08061065909263958
43,0.851,0.9696969696969697,0.9416666666666667,0.41578947368421054,1.632,0.9696969696969697,1.9416666666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.632,1.544,0.01,0.348,0.642,0.772,0.0,0.228,0.08020760579717638
44,0.848,0.9484848484848485,0.9479166666666666,0.42105263157894735,1.628,0.9484848484848485,1.9479166666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.628,1.536,0.017,0.338,0.645,0.768,0.0,0.232,0.0798065677681905
45,0.848,0.9484848484848485,0.95,0.41578947368421054,1.629,0.9484848484848485,1.95,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.629,1.538,0.017,0.337,0.646,0.769,0.0,0.231,0.07940753492934956
46,0.856,0.9575757575757575,0.9583333333333334,0.42105263157894735,1.636,0.9575757575757575,1.9583333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.014,0.336,0.65,0.776,0.0,0.224,0.07901049725470281
47,0.857,0.9666666666666667,0.9520833333333333,0.4263157894736842,1.636,0.9666666666666667,1.9520833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.011,0.342,0.647,0.776,0.0,0.224,0.0786154447684293
48,0.854,0.9575757575757575,0.9520833333333333,0.4263157894736842,1.633,0.9575757575757575,1.9520833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.633,1.546,0.014,0.339,0.647,0.773,0.0,0.227,0.07822236754458715
49,0.855,0.9606060606060606,0.9520833333333333,0.4263157894736842,1.634,0.9606060606060606,1.9520833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.634,1.548,0.013,0.34,0.647,0.774,0.0,0.226,0.07783125570686422
50,0.857,0.9515151515151515,0.96875,0.4105263157894737,1.639,0.9515151515151515,1.96875,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.639,1.558,0.016,0.329,0.655,0.779,0.0,0.221,0.0774420994283299
51,0.859,0.9757575757575757,0.9541666666666667,0.41578947368421054,1.64,0.9757575757575757,1.9541666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.64,1.56,0.008,0.344,0.648,0.78,0.0,0.22,0.07705488893118825
52,0.851,0.9424242424242424,0.9541666666666667,0.43157894736842106,1.629,0.9424242424242424,1.9541666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.629,1.538,0.019,0.333,0.648,0.769,0.0,0.231,0.07666961448653231
53,0.864,0.9727272727272728,0.9604166666666667,0.43157894736842106,1.642,0.9727272727272728,1.9604166666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.642,1.564,0.009,0.34,0.651,0.782,0.0,0.218,0.07628626641409965
54,0.858,0.9606060606060606,0.95,0.4473684210526316,1.633,0.9606060606060606,1.95,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.633,1.546,0.013,0.341,0.646,0.773,0.0,0.227,0.07590483508202915
55,0.871,0.9666666666666667,0.9708333333333333,0.45263157894736844,1.645,0.9666666666666667,1.9708333333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.645,1.57,0.011,0.333,0.656,0.785,0.0,0.215,0.075525310906619
56,0.853,0.9454545454545454,0.95625,0.43157894736842106,1.631,0.9454545454545454,1.95625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.631,1.542,0.018,0.333,0.649,0.771,0.0,0.229,0.07514768435208591
57,0.86,0.9666666666666667,0.9645833333333333,0.4105263157894737,1.642,0.9666666666666667,1.9645833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.642,1.564,0.011,0.336,0.653,0.782,0.0,0.218,0.07477194593032548
58,0.864,0.9636363636363636,0.9645833333333333,0.4368421052631579,1.641,0.9636363636363636,1.9645833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.641,1.562,0.012,0.335,0.653,0.781,0.0,0.219,0.07439808620067385
59,0.856,0.9545454545454546,0.9666666666666667,0.4052631578947368,1.639,0.9545454545454546,1.9666666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.639,1.558,0.015,0.331,0.654,0.779,0.0,0.221,0.07402609576967048
60,0.851,0.9454545454545454,0.9520833333333333,0.43157894736842106,1.629,0.9454545454545454,1.9520833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.629,1.538,0.018,0.335,0.647,0.769,0.0,0.231,0.07365596529082213
61,0.851,0.9606060606060606,0.9479166666666666,0.41578947368421054,1.632,0.9606060606060606,1.9479166666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.632,1.544,0.013,0.342,0.645,0.772,0.0,0.228,0.07328768546436802
62,0.861,0.9696969696969697,0.95625,0.43157894736842106,1.639,0.9696969696969697,1.95625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.639,1.558,0.01,0.341,0.649,0.779,0.0,0.221,0.07292124703704618
63,0.86,0.9787878787878788,0.9520833333333333,0.42105263157894735,1.64,0.9787878787878788,1.9520833333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.64,1.56,0.007,0.346,0.647,0.78,0.0,0.22,0.07255664080186094
64,0.857,0.9666666666666667,0.9541666666666667,0.42105263157894735,1.637,0.9666666666666667,1.9541666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.637,1.554,0.011,0.341,0.648,0.777,0.0,0.223,0.07219385759785164
65,0.871,0.9818181818181818,0.9708333333333333,0.4263157894736842,1.65,0.9818181818181818,1.9708333333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.65,1.58,0.006,0.338,0.656,0.79,0.0,0.21,0.07183288830986238
66,0.856,0.9515151515151515,0.9625,0.42105263157894735,1.636,0.9515151515151515,1.9625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.016,0.332,0.652,0.776,0.0,0.224,0.07147372386831308
67,0.857,0.9575757575757575,0.9583333333333334,0.4263157894736842,1.636,0.9575757575757575,1.9583333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.636,1.552,0.014,0.336,0.65,0.776,0.0,0.224,0.07111635524897152
68,0.855,0.9575757575757575,0.9625,0.4052631578947368,1.638,0.9575757575757575,1.9625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.638,1.556,0.014,0.334,0.652,0.778,0.0,0.222,0.07076077347272666
69,0.858,0.9575757575757575,0.9625,0.42105263157894735,1.638,0.9575757575757575,1.9625,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.638,1.556,0.014,0.334,0.652,0.778,0.0,0.222,0.07040696960536302
70,0.872,0.9878787878787879,0.96875,0.4263157894736842,1.651,0.9878787878787879,1.96875,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.651,1.582,0.004,0.341,0.655,0.791,0.0,0.209,0.0700549347573362
71,0.857,0.9545454545454546,0.9666666666666667,0.4105263157894737,1.639,0.9545454545454546,1.9666666666666666,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.639,1.558,0.015,0.331,0.654,0.779,0.0,0.221,0.06970466008354953
72,0.874,0.9727272727272728,0.9791666666666666,0.4368421052631579,1.651,0.9727272727272728,1.9791666666666667,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.651,1.582,0.009,0.331,0.66,0.791,0.0,0.209,0.06935613678313178
73,0.861,0.9727272727272728,0.9583333333333334,0.42105263157894735,1.641,0.9727272727272728,1.9583333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.641,1.562,0.009,0.341,0.65,0.781,0.0,0.219,0.06900935609921612
74,0.869,0.9787878787878788,0.96875,0.4263157894736842,1.648,0.9787878787878788,1.96875,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.648,1.576,0.007,0.338,0.655,0.788,0.0,0.212,0.06866430931872003
75,0.865,0.9757575757575757,0.9645833333333333,0.42105263157894735,1.645,0.9757575757575757,1.9645833333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.645,1.57,0.008,0.339,0.653,0.785,0.0,0.215,0.06832098777212643
76,0.865,0.9606060606060606,0.975,0.42105263157894735,1.645,0.9606060606060606,1.975,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.645,1.57,0.013,0.329,0.658,0.785,0.0,0.215,0.0679793828332658
