epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.296,0.3580645161290323,0.33877551020408164,0.095,1.167,0.3580645161290323,1.3387755102040817,2.0,0.081,0.14516129032258066,0.06938775510204082,0.01,0.9514,0.9959499999999999,-1.0374,0.554,0.199,0.435,0.366,0.277,0.0,0.723,0.0995
1,0.326,0.42258064516129035,0.3653061224489796,0.08,1.167,0.42258064516129035,1.3020408163265307,1.99,0.074,0.14193548387096774,0.05714285714285714,0.01,0.9117999999999999,0.9922500000000001,-1.0534000000000001,0.562,0.179,0.475,0.346,0.279,0.002,0.719,0.09900250000000001
2,0.351,0.5,0.35306122448979593,0.115,1.173,0.5064516129032258,1.2653061224489797,1.98,0.098,0.2064516129032258,0.0673469387755102,0.005,0.8624700000000001,0.9873500000000002,-1.02567,0.58,0.153,0.521,0.326,0.287,0.004,0.709,0.0985074875
3,0.386,0.6,0.3693877551020408,0.095,1.192,0.6161290322580645,1.236734693877551,1.975,0.109,0.22903225806451613,0.06938775510204082,0.02,0.81345,0.9819000000000001,-1.0339800000000001,0.619,0.119,0.57,0.311,0.307,0.005,0.688,0.09801495006250001
4,0.391,0.6483870967741936,0.3448979591836735,0.105,1.171,0.6548387096774193,1.1775510204081632,1.955,0.099,0.22580645161290322,0.05918367346938776,0.0,0.778,0.9769500000000002,-1.03655,0.596,0.107,0.615,0.278,0.29,0.009,0.701,0.09752487531218751
5,0.431,0.7290322580645161,0.3836734693877551,0.085,1.207,0.7580645161290323,1.1857142857142857,1.955,0.123,0.24838709677419354,0.08979591836734693,0.01,0.73422,0.9708000000000002,-1.04022,0.661,0.075,0.643,0.282,0.326,0.009,0.665,0.09703725093562657
6,0.412,0.7258064516129032,0.3510204081632653,0.075,1.186,0.7645161290322581,1.1387755102040817,1.955,0.132,0.29354838709677417,0.0836734693877551,0.0,0.69495,0.9642000000000002,-1.01473,0.616,0.073,0.668,0.259,0.305,0.009,0.686,0.09655206468094843
7,0.424,0.7129032258064516,0.3693877551020408,0.11,1.185,0.7741935483870968,1.1306122448979592,1.955,0.113,0.23225806451612904,0.07959183673469387,0.01,0.66928,0.9585500000000001,-1.04633,0.607,0.07,0.675,0.255,0.304,0.009,0.687,0.09606930435754368
8,0.433,0.7451612903225806,0.37551020408163266,0.09,1.187,0.8064516129032258,1.116326530612245,1.95,0.122,0.2161290322580645,0.10816326530612246,0.01,0.63966,0.9524500000000001,-1.0353800000000002,0.615,0.06,0.693,0.247,0.307,0.01,0.683,0.09558895783575597
9,0.441,0.7483870967741936,0.3877551020408163,0.095,1.174,0.8064516129032258,1.0938775510204082,1.94,0.12,0.26129032258064516,0.07551020408163266,0.01,0.61479,0.9464500000000002,-1.02913,0.598,0.06,0.706,0.234,0.296,0.012,0.692,0.09511101304657718
