epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.288,0.13333333333333333,0.3645833333333333,0.3631578947368421,0.86,0.0,1.0,2.0,0.05,0.048484848484848485,0.06458333333333334,0.015789473684210527,0.94047,0.9974999999999999,-0.7504700000000001,0.0,0.33,0.48,0.19,0.0,0.0,1.0,0.0995
1,0.244,0.06666666666666667,0.32083333333333336,0.35789473684210527,0.856,0.006060606060606061,1.0,1.9684210526315788,0.043,0.02727272727272727,0.05,0.05263157894736842,0.8936900000000001,0.99535,-0.76622,0.014,0.328,0.488,0.184,0.002,0.006,0.992,0.09900250000000001
2,0.25,0.048484848484848485,0.32708333333333334,0.4052631578947368,0.849,0.012121212121212121,1.0,1.9210526315789473,0.039,0.006060606060606061,0.06041666666666667,0.042105263157894736,0.8547100000000001,0.9934000000000001,-0.7710199999999998,0.034,0.326,0.499,0.175,0.004,0.015,0.981,0.0985074875
3,0.229,0.03333333333333333,0.30416666666666664,0.37894736842105264,0.841,0.015151515151515152,1.0,1.8736842105263158,0.042,0.015151515151515152,0.06458333333333334,0.031578947368421054,0.8151000000000002,0.9913000000000001,-0.7593899999999999,0.053,0.325,0.509,0.166,0.005,0.024,0.971,0.09801495006250001
4,0.202,0.051515151515151514,0.24583333333333332,0.3526315789473684,0.835,0.021212121212121213,1.0,1.831578947368421,0.045,0.024242424242424242,0.058333333333333334,0.04736842105263158,0.78374,0.9890500000000001,-0.7586399999999999,0.072,0.323,0.519,0.158,0.007,0.032,0.961,0.09752487531218751
5,0.207,0.03636363636363636,0.2520833333333333,0.3894736842105263,0.828,0.030303030303030304,1.0,1.7789473684210526,0.044,0.00909090909090909,0.07083333333333333,0.03684210526315789,0.76175,0.9868500000000002,-0.76201,0.094,0.32,0.532,0.148,0.01,0.042,0.948,0.09703725093562657
6,0.198,0.03939393939393939,0.23541666666666666,0.37894736842105264,0.82,0.03333333333333333,1.0,1.731578947368421,0.039,0.012121212121212121,0.058333333333333334,0.03684210526315789,0.7384099999999999,0.9849000000000002,-0.75766,0.113,0.319,0.542,0.139,0.011,0.051,0.938,0.09655206468094843
7,0.196,0.03333333333333333,0.24166666666666667,0.3631578947368421,0.815,0.03333333333333333,1.0,1.7052631578947368,0.033,0.012121212121212121,0.041666666666666664,0.04736842105263158,0.7235,0.9832500000000003,-0.7670899999999999,0.123,0.319,0.547,0.134,0.011,0.056,0.933,0.09606930435754368
8,0.197,0.051515151515151514,0.21875,0.39473684210526316,0.811,0.03636363636363636,1.0,1.6789473684210525,0.028,0.01818181818181818,0.035416666666666666,0.02631578947368421,0.7132000000000001,0.9828500000000003,-0.7726999999999999,0.134,0.318,0.553,0.129,0.012,0.061,0.927,0.09558895783575597
9,0.195,0.045454545454545456,0.23125,0.3631578947368421,0.812,0.051515151515151514,1.0,1.6578947368421053,0.044,0.030303030303030304,0.05625,0.03684210526315789,0.6930899999999999,0.9806500000000001,-0.7478899999999999,0.148,0.313,0.562,0.125,0.017,0.065,0.918,0.09511101304657718
10,0.188,0.03939393939393939,0.2125,0.38421052631578945,0.822,0.08787878787878788,1.0,1.6473684210526316,0.026,0.00909090909090909,0.03958333333333333,0.021052631578947368,0.6884300000000001,0.9793500000000005,-0.79134,0.165,0.301,0.576,0.123,0.029,0.067,0.904,0.09463545798134429
11,0.188,0.045454545454545456,0.21458333333333332,0.3684210526315789,0.823,0.09696969696969697,1.0,1.6368421052631579,0.036,0.012121212121212121,0.052083333333333336,0.03684210526315789,0.6804199999999999,0.9775500000000005,-0.7789899999999998,0.171,0.298,0.581,0.121,0.032,0.069,0.899,0.09416228069143756
12,0.184,0.06060606060606061,0.21666666666666667,0.3157894736842105,0.824,0.10606060606060606,1.0,1.6263157894736842,0.031,0.01818181818181818,0.04375,0.021052631578947368,0.67116,0.9770000000000005,-0.78374,0.179,0.295,0.586,0.119,0.035,0.071,0.894,0.09369146928798038
13,0.175,0.03636363636363636,0.22083333333333333,0.3,0.829,0.11818181818181818,1.0,1.631578947368421,0.033,0.015151515151515152,0.04583333333333333,0.031578947368421054,0.6613499999999999,0.9753500000000004,-0.7861899999999999,0.18,0.291,0.589,0.12,0.039,0.07,0.891,0.09322301194154048
14,0.167,0.051515151515151514,0.21875,0.23684210526315788,0.838,0.1393939393939394,1.0,1.6421052631578947,0.023,0.012121212121212121,0.035416666666666666,0.010526315789473684,0.65734,0.9742000000000003,-0.8109899999999999,0.186,0.284,0.594,0.122,0.046,0.068,0.886,0.09275689688183278
15,0.162,0.04242424242424243,0.225,0.21052631578947367,0.843,0.15151515151515152,1.0,1.6473684210526316,0.03,0.015151515151515152,0.041666666666666664,0.02631578947368421,0.65178,0.9727000000000003,-0.8074399999999999,0.186,0.28,0.597,0.123,0.05,0.067,0.883,0.09229311239742362
16,0.159,0.03636363636363636,0.22083333333333333,0.21578947368421053,0.848,0.16363636363636364,1.0,1.6526315789473685,0.024,0.01818181818181818,0.035416666666666666,0.005263157894736842,0.64827,0.9725000000000005,-0.8204899999999999,0.186,0.276,0.6,0.124,0.054,0.066,0.88,0.0918316468354365
17,0.149,0.03939393939393939,0.21041666666666667,0.18421052631578946,0.851,0.17575757575757575,1.0,1.6473684210526316,0.027,0.015151515151515152,0.0375,0.021052631578947368,0.6461200000000001,0.9711500000000004,-0.8218499999999999,0.193,0.272,0.605,0.123,0.058,0.067,0.875,0.09137248860125932
18,0.147,0.05454545454545454,0.20208333333333334,0.16842105263157894,0.854,0.19090909090909092,1.0,1.6368421052631579,0.03,0.00909090909090909,0.05,0.015789473684210527,0.6443700000000001,0.9696500000000006,-0.82225,0.206,0.267,0.612,0.121,0.063,0.069,0.868,0.09091562615825302
19,0.141,0.030303030303030304,0.19166666666666668,0.20526315789473684,0.854,0.19393939393939394,1.0,1.631578947368421,0.021,0.00909090909090909,0.029166666666666667,0.021052631578947368,0.6403,0.9706000000000007,-0.8289299999999998,0.207,0.266,0.614,0.12,0.064,0.07,0.866,0.09046104802746176
20,0.147,0.048484848484848485,0.19166666666666668,0.20526315789473684,0.853,0.19696969696969696,1.0,1.6210526315789473,0.024,0.00909090909090909,0.027083333333333334,0.042105263157894736,0.6366600000000001,0.9704000000000006,-0.8253599999999999,0.213,0.265,0.617,0.118,0.065,0.072,0.863,0.09000874278732444
21,0.127,0.045454545454545456,0.16041666666666668,0.18421052631578946,0.852,0.20303030303030303,1.0,1.605263157894737,0.03,0.021212121212121213,0.04375,0.010526315789473684,0.63048,0.9699000000000007,-0.81582,0.22,0.263,0.622,0.115,0.067,0.075,0.858,0.08955869907338782
22,0.131,0.03939393939393939,0.17083333333333334,0.18947368421052632,0.852,0.2,1.0,1.6105263157894736,0.019,0.00909090909090909,0.025,0.021052631578947368,0.62721,0.9699500000000005,-0.8297299999999999,0.215,0.264,0.62,0.116,0.066,0.074,0.86,0.08911090557802087
23,0.12,0.051515151515151514,0.16041666666666668,0.1368421052631579,0.848,0.19393939393939394,1.0,1.6,0.026,0.01818181818181818,0.03125,0.02631578947368421,0.62072,0.9686500000000008,-0.81551,0.219,0.266,0.62,0.114,0.064,0.076,0.86,0.08866535105013076
24,0.104,0.03939393939393939,0.15416666666666667,0.08947368421052632,0.846,0.18787878787878787,1.0,1.6,0.027,0.015151515151515152,0.03958333333333333,0.015789473684210527,0.61527,0.9683000000000007,-0.81355,0.215,0.268,0.618,0.114,0.062,0.076,0.862,0.08822202429488012
25,0.099,0.06666666666666667,0.125,0.08947368421052632,0.85,0.2,1.0,1.6,0.021,0.02727272727272727,0.01875,0.015789473684210527,0.60776,0.9672500000000008,-0.82149,0.224,0.264,0.622,0.114,0.066,0.076,0.858,0.08778091417340572
26,0.08,0.03636363636363636,0.10416666666666667,0.09473684210526316,0.852,0.20606060606060606,1.0,1.6,0.011,0.012121212121212121,0.010416666666666666,0.010526315789473684,0.6089200000000001,0.9697000000000008,-0.8421599999999999,0.223,0.262,0.624,0.114,0.068,0.076,0.856,0.0873420096025387
27,0.081,0.048484848484848485,0.11041666666666666,0.06315789473684211,0.857,0.22121212121212122,1.0,1.6,0.02,0.015151515151515152,0.022916666666666665,0.021052631578947368,0.6060899999999999,0.9701500000000006,-0.8341699999999999,0.229,0.257,0.629,0.114,0.073,0.076,0.851,0.086905299554526
28,0.077,0.04242424242424243,0.11458333333333333,0.042105263157894736,0.855,0.21515151515151515,1.0,1.6,0.013,0.00909090909090909,0.01875,0.005263157894736842,0.60848,0.9715000000000007,-0.8443899999999999,0.227,0.259,0.627,0.114,0.071,0.076,0.853,0.08647077305675337
29,0.079,0.05454545454545454,0.10416666666666667,0.05789473684210526,0.858,0.22424242424242424,1.0,1.6,0.016,0.021212121212121213,0.016666666666666666,0.005263157894736842,0.6008500000000001,0.9747000000000007,-0.83437,0.23,0.256,0.63,0.114,0.074,0.076,0.85,0.0860384191914696
30,0.064,0.02727272727272727,0.09583333333333334,0.04736842105263158,0.858,0.22424242424242424,1.0,1.6,0.016,0.015151515151515152,0.020833333333333332,0.005263157894736842,0.5972700000000001,0.9759000000000008,-0.8384199999999998,0.226,0.256,0.63,0.114,0.074,0.076,0.85,0.08560822709551225
31,0.063,0.045454545454545456,0.07916666666666666,0.05263157894736842,0.864,0.24242424242424243,1.0,1.6,0.014,0.015151515151515152,0.016666666666666666,0.005263157894736842,0.5966100000000001,0.9794000000000006,-0.8493399999999999,0.235,0.25,0.636,0.114,0.08,0.076,0.844,0.08518018596003468
32,0.047,0.04242424242424243,0.05416666666666667,0.03684210526315789,0.866,0.24545454545454545,1.0,1.605263157894737,0.007,0.012121212121212121,0.00625,0.0,0.5993800000000001,0.9840500000000008,-0.8617699999999998,0.238,0.249,0.636,0.115,0.081,0.075,0.844,0.08475428503023451
33,0.044,0.03939393939393939,0.052083333333333336,0.031578947368421054,0.868,0.24545454545454545,1.0,1.6157894736842104,0.011,0.015151515151515152,0.0125,0.0,0.59572,0.9865000000000007,-0.8533399999999999,0.232,0.249,0.634,0.117,0.081,0.073,0.846,0.08433051360508334
34,0.047,0.048484848484848485,0.05625,0.021052631578947368,0.87,0.2515151515151515,1.0,1.6157894736842104,0.008,0.012121212121212121,0.008333333333333333,0.0,0.59525,0.9897500000000006,-0.86153,0.234,0.247,0.636,0.117,0.083,0.073,0.844,0.08390886103705793
35,0.043,0.030303030303030304,0.05625,0.031578947368421054,0.871,0.2545454545454545,1.0,1.6157894736842104,0.008,0.006060606060606061,0.010416666666666666,0.005263157894736842,0.5926600000000001,0.9926500000000006,-0.8604099999999999,0.23,0.246,0.637,0.117,0.084,0.073,0.843,0.08348931673187264
36,0.032,0.030303030303030304,0.027083333333333334,0.04736842105263158,0.872,0.2606060606060606,1.0,1.6105263157894736,0.008,0.012121212121212121,0.004166666666666667,0.010526315789473684,0.59197,0.9942000000000004,-0.8633099999999999,0.235,0.244,0.64,0.116,0.086,0.074,0.84,0.08307187014821328
37,0.047,0.02727272727272727,0.058333333333333334,0.05263157894736842,0.872,0.26666666666666666,1.0,1.6,0.007,0.015151515151515152,0.0020833333333333333,0.005263157894736842,0.5917600000000001,0.9958500000000005,-0.86479,0.241,0.242,0.644,0.114,0.088,0.076,0.836,0.08265651079747222
38,0.043,0.03333333333333333,0.058333333333333334,0.021052631578947368,0.875,0.2818181818181818,1.0,1.5894736842105264,0.006,0.015151515151515152,0.0020833333333333333,0.0,0.5929200000000001,0.9967500000000005,-0.8701599999999999,0.252,0.237,0.651,0.112,0.093,0.078,0.829,0.08224322824348486
39,0.047,0.045454545454545456,0.04583333333333333,0.05263157894736842,0.882,0.3,1.0,1.5947368421052632,0.01,0.015151515151515152,0.00625,0.010526315789473684,0.5911400000000001,0.9976500000000001,-0.8702199999999999,0.257,0.231,0.656,0.113,0.099,0.077,0.824,0.08183201210226744
40,0.046,0.051515151515151514,0.04791666666666667,0.031578947368421054,0.882,0.30606060606060603,1.0,1.5842105263157895,0.015,0.02727272727272727,0.0125,0.0,0.58545,0.9972,-0.8613099999999998,0.267,0.229,0.66,0.111,0.101,0.079,0.82,0.0814228520417561
41,0.04,0.03333333333333333,0.05,0.02631578947368421,0.887,0.3151515151515151,1.0,1.5947368421052632,0.011,0.015151515151515152,0.0125,0.0,0.58258,0.9982000000000001,-0.8731299999999999,0.26,0.226,0.661,0.113,0.104,0.077,0.819,0.08101573778154732
42,0.029,0.03636363636363636,0.022916666666666665,0.031578947368421054,0.892,0.32727272727272727,1.0,1.6,0.006,0.00909090909090909,0.0020833333333333333,0.010526315789473684,0.5843100000000001,0.9991999999999999,-0.8877299999999999,0.266,0.222,0.664,0.114,0.108,0.076,0.816,0.08061065909263958
43,0.048,0.04242424242424243,0.041666666666666664,0.07368421052631578,0.895,0.33636363636363636,1.0,1.6,0.01,0.00909090909090909,0.010416666666666666,0.010526315789473684,0.5809300000000001,0.99915,-0.8816199999999998,0.267,0.219,0.667,0.114,0.111,0.076,0.813,0.08020760579717638
44,0.04,0.045454545454545456,0.035416666666666666,0.042105263157894736,0.895,0.3424242424242424,1.0,1.5894736842105264,0.009,0.01818181818181818,0.00625,0.0,0.5811300000000001,0.999,-0.8862000000000001,0.277,0.217,0.671,0.112,0.113,0.078,0.809,0.0798065677681905
45,0.04,0.03939393939393939,0.041666666666666664,0.03684210526315789,0.898,0.3424242424242424,1.0,1.605263157894737,0.01,0.021212121212121213,0.00625,0.0,0.57975,0.9987999999999999,-0.8866199999999999,0.268,0.217,0.668,0.115,0.113,0.075,0.812,0.07940753492934956
46,0.034,0.02727272727272727,0.0375,0.03684210526315789,0.903,0.3575757575757576,1.0,1.605263157894737,0.005,0.00909090909090909,0.004166666666666667,0.0,0.5825900000000002,0.9994000000000002,-0.9008399999999999,0.273,0.212,0.673,0.115,0.118,0.075,0.807,0.07901049725470281
47,0.043,0.04242424242424243,0.0375,0.05789473684210526,0.905,0.36363636363636365,1.0,1.605263157894737,0.009,0.012121212121212121,0.010416666666666666,0.0,0.5826000000000001,0.9991999999999999,-0.8960099999999999,0.276,0.21,0.675,0.115,0.12,0.075,0.805,0.0786154447684293
48,0.037,0.030303030303030304,0.035416666666666666,0.05263157894736842,0.904,0.3606060606060606,1.0,1.605263157894737,0.01,0.006060606060606061,0.010416666666666666,0.015789473684210527,0.5821600000000001,0.99915,-0.8935599999999999,0.273,0.211,0.674,0.115,0.119,0.075,0.806,0.07822236754458715
49,0.038,0.030303030303030304,0.03333333333333333,0.06315789473684211,0.903,0.36363636363636365,1.0,1.5947368421052632,0.008,0.00909090909090909,0.010416666666666666,0.0,0.5817100000000002,0.99895,-0.89455,0.275,0.21,0.677,0.113,0.12,0.077,0.803,0.07783125570686422
50,0.042,0.02727272727272727,0.035416666666666666,0.08421052631578947,0.906,0.36666666666666664,1.0,1.605263157894737,0.005,0.0030303030303030303,0.008333333333333333,0.0,0.5856500000000001,0.9993000000000001,-0.9049399999999999,0.276,0.209,0.676,0.115,0.121,0.075,0.804,0.0774420994283299
51,0.036,0.030303030303030304,0.03125,0.05789473684210526,0.901,0.3484848484848485,1.0,1.6105263157894736,0.005,0.006060606060606061,0.0,0.015789473684210527,0.5887700000000002,0.9996,-0.8991199999999999,0.267,0.215,0.669,0.116,0.115,0.074,0.811,0.07705488893118825
52,0.049,0.05454545454545454,0.05,0.03684210526315789,0.892,0.33636363636363636,1.0,1.5842105263157895,0.012,0.01818181818181818,0.008333333333333333,0.010526315789473684,0.5847800000000002,0.9993500000000001,-0.8760099999999998,0.277,0.219,0.67,0.111,0.111,0.079,0.81,0.07666961448653231
