epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.289,0.11,0.3893617021276596,0.47692307692307695,0.946,0.1125,1.3702127659574468,1.976923076923077,0.109,0.0775,0.14680851063829786,0.06923076923076923,0.87375,0.99455,-0.71075,0.443,0.355,0.344,0.301,0.219,0.003,0.778,0.0995
1,0.274,0.0825,0.37872340425531914,0.4846153846153846,0.849,0.1025,1.195744680851064,1.8923076923076922,0.116,0.0575,0.1702127659574468,0.1,0.77055,0.9887499999999999,-0.6297999999999999,0.286,0.359,0.433,0.208,0.133,0.014,0.853,0.09900250000000001
2,0.26,0.0625,0.3702127659574468,0.46923076923076923,0.782,0.1075,1.0872340425531914,1.7538461538461538,0.1,0.04,0.16382978723404254,0.05384615384615385,0.7101799999999999,0.98375,-0.62163,0.214,0.357,0.504,0.139,0.084,0.032,0.884,0.0985074875
3,0.259,0.0525,0.37659574468085105,0.46923076923076923,0.767,0.1175,1.0574468085106383,1.7153846153846153,0.107,0.04,0.17659574468085107,0.06153846153846154,0.66964,0.9784000000000003,-0.6194599999999999,0.196,0.353,0.527,0.12,0.074,0.037,0.889,0.09801495006250001
4,0.226,0.0625,0.30425531914893617,0.4461538461538462,0.763,0.1525,1.025531914893617,1.6923076923076923,0.077,0.0475,0.10638297872340426,0.06153846153846154,0.6421599999999998,0.9745500000000001,-0.6585199999999999,0.19,0.339,0.559,0.102,0.073,0.04,0.887,0.09752487531218751
5,0.223,0.055,0.3021276595744681,0.45384615384615384,0.772,0.1825,1.0382978723404255,1.623076923076923,0.083,0.0425,0.1127659574468085,0.1,0.61272,0.9704,-0.6595599999999999,0.229,0.327,0.574,0.099,0.091,0.049,0.86,0.09703725093562657
6,0.213,0.0525,0.2765957446808511,0.47692307692307695,0.762,0.2,1.0191489361702128,1.5615384615384615,0.093,0.0375,0.14468085106382977,0.07692307692307693,0.58263,0.9657500000000002,-0.63891,0.233,0.32,0.598,0.082,0.089,0.057,0.854,0.09655206468094843
7,0.205,0.0425,0.274468085106383,0.45384615384615384,0.767,0.225,1.0148936170212766,1.5384615384615385,0.074,0.0325,0.10212765957446808,0.1,0.56613,0.96205,-0.6764999999999999,0.241,0.31,0.613,0.077,0.097,0.06,0.843,0.09606930435754368
8,0.192,0.0425,0.2531914893617021,0.4307692307692308,0.788,0.2525,1.0361702127659576,1.5384615384615385,0.072,0.0175,0.11063829787234042,0.1,0.54955,0.9584500000000002,-0.6994199999999999,0.272,0.299,0.614,0.087,0.118,0.06,0.822,0.09558895783575597
9,0.169,0.0525,0.2170212765957447,0.35384615384615387,0.782,0.27,1.0148936170212766,1.5153846153846153,0.06,0.04,0.07872340425531915,0.05384615384615385,0.53328,0.9554500000000002,-0.70573,0.269,0.292,0.634,0.074,0.115,0.063,0.822,0.09511101304657718
10,0.144,0.055,0.17872340425531916,0.2923076923076923,0.798,0.31,1.0191489361702128,1.5,0.053,0.04,0.06808510638297872,0.038461538461538464,0.51655,0.9528000000000002,-0.72827,0.294,0.276,0.65,0.074,0.133,0.065,0.802,0.09463545798134429
11,0.143,0.0575,0.16808510638297872,0.3153846153846154,0.815,0.355,1.0170212765957447,1.5,0.059,0.035,0.07659574468085106,0.06923076923076923,0.49887,0.9498500000000003,-0.73832,0.311,0.258,0.669,0.073,0.15,0.065,0.785,0.09416228069143756
12,0.12,0.0375,0.14893617021276595,0.2692307692307692,0.823,0.37,1.0212765957446808,1.5,0.046,0.02,0.06595744680851064,0.05384615384615385,0.4883199999999999,0.9475500000000003,-0.76645,0.313,0.252,0.673,0.075,0.158,0.065,0.777,0.09369146928798038
