epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.323,0.3741935483870968,0.35714285714285715,0.16,1.18,0.3741935483870968,1.3551020408163266,2.0,0.037,0.07419354838709677,0.024489795918367346,0.01,0.95594,0.9981500000000001,-1.09894,0.58,0.194,0.432,0.374,0.29,0.0,0.71,0.0995
1,0.337,0.4774193548387097,0.34285714285714286,0.105,1.193,0.4774193548387097,1.3204081632653062,1.99,0.036,0.06451612903225806,0.030612244897959183,0.005,0.9149700000000001,0.99635,-1.11603,0.614,0.162,0.483,0.355,0.305,0.002,0.693,0.09900250000000001
2,0.368,0.5290322580645161,0.36122448979591837,0.135,1.204,0.5387096774193548,1.3061224489795917,1.985,0.049,0.09032258064516129,0.03877551020408163,0.01,0.86287,0.9939,-1.1029,0.637,0.143,0.51,0.347,0.317,0.003,0.68,0.0985074875
3,0.388,0.5935483870967742,0.36122448979591837,0.135,1.211,0.6096774193548387,1.2816326530612245,1.97,0.057,0.13870967741935483,0.026530612244897958,0.005,0.8123400000000001,0.9910500000000001,-1.10347,0.661,0.121,0.547,0.332,0.327,0.006,0.667,0.09801495006250001
4,0.403,0.632258064516129,0.3653061224489796,0.14,1.211,0.6483870967741936,1.2612244897959184,1.96,0.058,0.10967741935483871,0.04285714285714286,0.015,0.7639600000000001,0.9881500000000001,-1.10462,0.669,0.109,0.571,0.32,0.329,0.008,0.663,0.09752487531218751
5,0.436,0.7419354838709677,0.35714285714285715,0.155,1.211,0.7612903225806451,1.1959183673469387,1.945,0.06,0.13225806451612904,0.03877551020408163,0.0,0.72144,0.9851500000000002,-1.10848,0.68,0.074,0.641,0.285,0.332,0.011,0.657,0.09703725093562657
6,0.46,0.8419354838709677,0.35918367346938773,0.115,1.238,0.8806451612903226,1.1755102040816328,1.945,0.077,0.18064516129032257,0.04285714285714286,0.0,0.6723899999999999,0.9813000000000001,-1.1119500000000002,0.728,0.037,0.688,0.275,0.359,0.011,0.63,0.09655206468094843
7,0.486,0.8548387096774194,0.38979591836734695,0.15,1.237,0.896774193548387,1.1653061224489796,1.94,0.069,0.15483870967741936,0.03877551020408163,0.01,0.64048,0.9778500000000003,-1.1360899999999998,0.729,0.032,0.699,0.269,0.359,0.012,0.629,0.09606930435754368
8,0.48,0.896774193548387,0.36122448979591837,0.125,1.226,0.9354838709677419,1.1224489795918366,1.93,0.066,0.15806451612903225,0.0326530612244898,0.005,0.6125,0.9745500000000001,-1.13202,0.716,0.02,0.734,0.246,0.35,0.014,0.636,0.09558895783575597
9,0.495,0.9161290322580645,0.37551020408163266,0.135,1.225,0.9548387096774194,1.110204081632653,1.925,0.071,0.15161290322580645,0.04285714285714286,0.015,0.58234,0.9710000000000003,-1.1238400000000002,0.718,0.014,0.747,0.239,0.35,0.015,0.635,0.09511101304657718
