iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,1,1,1,LowVerify,1
1,0.75,0.75,0.75,0.4545454545454546,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.4545454545454546,0.2727272727272727,1,1,1,LowVerify,1
2,0.8,0.8,0.8,0.5,0.25,0.25,0.25,0.41666666666666663,0.3333333333333333,1,1,1,LowVerify,2
3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.38461538461538464,1,1,1,LowVerify,2
4,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.3571428571428571,0.4285714285714285,1,1,1,LowVerify,2
5,0.875,0.875,0.875,0.6,0.2,0.2,0.2,0.3333333333333333,0.4666666666666666,1,1,1,LowVerify,2
6,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.625,0.1875,0.1875,0.1875,0.3125,0.5,1,1,1,LowVerify,2
7,0.9,0.9,0.9,0.6470588235294117,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.29411764705882354,0.5294117647058824,1,1,1,LowVerify,2
8,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.5555555555555556,1,1,1,LowVerify,2
9,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6842105263157894,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.5789473684210527,1,1,1,LowVerify,2
10,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.25,0.6000000000000001,1,1,1,LowVerify,2
11,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.6190476190476191,1,1,1,LowVerify,2
12,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.2272727272727273,0.6363636363636362,1,1,1,LowVerify,2
13,0.9375,0.9375,0.9375,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.6521739130434782,1,1,1,LowVerify,2
14,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.75,0.125,0.125,0.125,0.20833333333333331,0.6666666666666666,1,1,1,LowVerify,2
