iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.25,0,0,0,LowVerify
1,0.25,0.25,0.25,0.6,0.2,0.2,0,0,0,LowVerify
2,0.2,0.2,0.2,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,LowVerify
3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,LowVerify
4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.75,0.125,0.125,0,0,0,LowVerify
5,0.125,0.125,0.125,0.7777777777777778,0.1111111111111111,0.1111111111111111,0,0,0,LowVerify
6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8,0.1,0.1,0,0,0,LowVerify
7,0.1,0.1,0.1,0.8181818181818182,0.09090909090909091,0.09090909090909091,0,0,0,LowVerify
8,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.08333333333333333,0.08333333333333333,0,0,0,LowVerify
9,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8461538461538461,0.07692307692307693,0.07692307692307693,0,0,0,LowVerify
10,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.8571428571428571,0.07142857142857142,0.07142857142857142,0,0,0,LowVerify
11,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.8666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,LowVerify
12,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.875,0.0625,0.0625,0,0,0,LowVerify
13,0.0625,0.0625,0.0625,0.8823529411764706,0.058823529411764705,0.058823529411764705,0,0,0,LowVerify
14,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.8888888888888888,0.05555555555555555,0.05555555555555555,0,0,0,LowVerify
15,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.8947368421052632,0.05263157894736842,0.05263157894736842,0,0,0,LowVerify
16,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.9,0.05,0.05,0,0,0,LowVerify
17,0.05,0.05,0.05,0.9047619047619048,0.047619047619047616,0.047619047619047616,0,0,0,LowVerify
18,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.9090909090909091,0.045454545454545456,0.045454545454545456,0,0,0,LowVerify
19,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.9130434782608695,0.043478260869565216,0.043478260869565216,0,0,0,LowVerify
20,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.9166666666666666,0.041666666666666664,0.041666666666666664,0,0,0,LowVerify
21,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.92,0.04,0.04,0,0,0,LowVerify
22,0.04,0.04,0.04,0.9230769230769231,0.038461538461538464,0.038461538461538464,0,0,0,LowVerify
23,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.9259259259259259,0.037037037037037035,0.037037037037037035,0,0,0,LowVerify
