iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,0.30000000000000004,0,0,0,LowVerify,0
1,0.25,0.25,0.25,0.4545454545454546,0.2727272727272727,0.2727272727272727,0.4545454545454546,0.2727272727272727,0.2727272727272727,0,0,0,LowVerify,0
2,0.2,0.2,0.2,0.49999999999999994,0.25,0.25,0.49999999999999994,0.25,0.25,0,0,0,LowVerify,0
3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5384615384615385,0.23076923076923078,0.23076923076923078,0.5384615384615385,0.23076923076923078,0.23076923076923078,0,0,0,LowVerify,0
4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.21428571428571427,0,0,0,LowVerify,0
5,0.125,0.125,0.125,0.6,0.2,0.2,0.6,0.2,0.2,0,0,0,LowVerify,0
6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.625,0.1875,0.1875,0.625,0.1875,0.1875,0,0,0,LowVerify,0
7,0.1,0.1,0.1,0.6470588235294118,0.1764705882352941,0.1764705882352941,0.6470588235294118,0.1764705882352941,0.1764705882352941,0,0,0,LowVerify,0
8,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.16666666666666666,0.16666666666666666,0,0,0,LowVerify,0
9,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.6842105263157894,0.15789473684210525,0.15789473684210525,0.6842105263157894,0.15789473684210525,0.15789473684210525,0,0,0,LowVerify,0
10,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.7000000000000001,0.15000000000000002,0.15000000000000002,0.7000000000000001,0.15000000000000002,0.15000000000000002,0,0,0,LowVerify,0
11,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.7142857142857144,0.14285714285714285,0.14285714285714285,0.7142857142857144,0.14285714285714285,0.14285714285714285,0,0,0,LowVerify,0
12,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7272727272727272,0.13636363636363635,0.13636363636363635,0.7272727272727272,0.13636363636363635,0.13636363636363635,0,0,0,LowVerify,0
13,0.0625,0.0625,0.0625,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.7391304347826086,0.13043478260869565,0.13043478260869565,0,0,0,LowVerify,0
14,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.7499999999999999,0.125,0.125,0.7499999999999999,0.125,0.125,0,0,0,LowVerify,0
15,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.7600000000000001,0.12,0.12,0.7600000000000001,0.12,0.12,0,0,0,LowVerify,0
16,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.7692307692307692,0.11538461538461539,0.11538461538461539,0.7692307692307692,0.11538461538461539,0.11538461538461539,0,0,0,LowVerify,0
17,0.05,0.05,0.05,0.7777777777777777,0.1111111111111111,0.1111111111111111,0.7777777777777777,0.1111111111111111,0.1111111111111111,0,0,0,LowVerify,0
18,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.7857142857142857,0.10714285714285714,0.10714285714285714,0.7857142857142857,0.10714285714285714,0.10714285714285714,0,0,0,LowVerify,0
19,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.793103448275862,0.10344827586206896,0.10344827586206896,0.793103448275862,0.10344827586206896,0.10344827586206896,0,0,0,LowVerify,0
20,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.7999999999999999,0.1,0.1,0.7999999999999999,0.1,0.1,0,0,0,LowVerify,0
21,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.8064516129032258,0.0967741935483871,0.0967741935483871,0.8064516129032258,0.0967741935483871,0.0967741935483871,0,0,0,LowVerify,0
22,0.04,0.04,0.04,0.8125,0.09375,0.09375,0.8125,0.09375,0.09375,0,0,0,LowVerify,0
23,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.8181818181818181,0.09090909090909091,0.09090909090909091,0.8181818181818181,0.09090909090909091,0.09090909090909091,0,0,0,LowVerify,0
24,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.8235294117647058,0.08823529411764705,0.08823529411764705,0.8235294117647058,0.08823529411764705,0.08823529411764705,0,0,0,LowVerify,0
25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.8285714285714286,0.08571428571428572,0.08571428571428572,0.8285714285714286,0.08571428571428572,0.08571428571428572,0,0,0,LowVerify,0
26,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.08333333333333333,0,0,0,LowVerify,0
27,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.8378378378378377,0.08108108108108109,0.08108108108108109,0.8378378378378377,0.08108108108108109,0.08108108108108109,0,0,0,LowVerify,0
28,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.8421052631578947,0.07894736842105263,0.07894736842105263,0.8421052631578947,0.07894736842105263,0.07894736842105263,0,0,0,LowVerify,0
29,0.03125,0.03125,0.03125,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.07692307692307693,0,0,0,LowVerify,0
30,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.8500000000000001,0.07500000000000001,0.07500000000000001,0.8500000000000001,0.07500000000000001,0.07500000000000001,0,0,0,LowVerify,0
31,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.853658536585366,0.07317073170731708,0.07317073170731708,0.853658536585366,0.07317073170731708,0.07317073170731708,0,0,0,LowVerify,0
32,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.8571428571428572,0.07142857142857142,0.07142857142857142,0.8571428571428572,0.07142857142857142,0.07142857142857142,0,0,0,LowVerify,0
33,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.8604651162790699,0.06976744186046512,0.06976744186046512,0.8604651162790699,0.06976744186046512,0.06976744186046512,0,0,0,LowVerify,0
34,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.8636363636363636,0.06818181818181818,0.06818181818181818,0.8636363636363636,0.06818181818181818,0.06818181818181818,0,0,0,LowVerify,0
35,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,LowVerify,0
36,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.8695652173913043,0.06521739130434782,0.06521739130434782,0.8695652173913043,0.06521739130434782,0.06521739130434782,0,0,0,LowVerify,0
37,0.025,0.025,0.025,0.8723404255319149,0.06382978723404255,0.06382978723404255,0.8723404255319149,0.06382978723404255,0.06382978723404255,0,0,0,LowVerify,0
38,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.8750000000000001,0.0625,0.0625,0.8750000000000001,0.0625,0.0625,0,0,0,LowVerify,0
39,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.8775510204081634,0.061224489795918366,0.061224489795918366,0.8775510204081634,0.061224489795918366,0.061224489795918366,0,0,0,LowVerify,0
40,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.88,0.06,0.06,0.88,0.06,0.06,0,0,0,LowVerify,0
41,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.8823529411764707,0.058823529411764705,0.058823529411764705,0.8823529411764707,0.058823529411764705,0.058823529411764705,0,0,0,LowVerify,0
42,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.8846153846153847,0.057692307692307696,0.057692307692307696,0.8846153846153847,0.057692307692307696,0.057692307692307696,0,0,0,LowVerify,0
43,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.8867924528301887,0.05660377358490566,0.05660377358490566,0.8867924528301887,0.05660377358490566,0.05660377358490566,0,0,0,LowVerify,0
44,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.05555555555555555,0,0,0,LowVerify,0
45,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.8909090909090909,0.05454545454545454,0.05454545454545454,0.8909090909090909,0.05454545454545454,0.05454545454545454,0,0,0,LowVerify,0
46,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.8928571428571429,0.05357142857142857,0.05357142857142857,0.8928571428571429,0.05357142857142857,0.05357142857142857,0,0,0,LowVerify,0
47,0.02,0.02,0.02,0.8947368421052633,0.05263157894736842,0.05263157894736842,0.8947368421052633,0.05263157894736842,0.05263157894736842,0,0,0,LowVerify,0
48,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.896551724137931,0.05172413793103448,0.05172413793103448,0.896551724137931,0.05172413793103448,0.05172413793103448,0,0,0,LowVerify,0
49,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.8983050847457626,0.05084745762711865,0.05084745762711865,0.8983050847457626,0.05084745762711865,0.05084745762711865,0,0,0,LowVerify,0
50,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.9000000000000001,0.05,0.05,0.9000000000000001,0.05,0.05,0,0,0,LowVerify,0
51,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.9016393442622951,0.04918032786885246,0.04918032786885246,0.9016393442622951,0.04918032786885246,0.04918032786885246,0,0,0,LowVerify,0
52,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.9032258064516129,0.04838709677419355,0.04838709677419355,0.9032258064516129,0.04838709677419355,0.04838709677419355,0,0,0,LowVerify,0
53,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.9047619047619047,0.047619047619047616,0.047619047619047616,0.9047619047619047,0.047619047619047616,0.047619047619047616,0,0,0,LowVerify,0
54,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.90625,0.046875,0.046875,0.90625,0.046875,0.046875,0,0,0,LowVerify,0
55,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.9076923076923076,0.046153846153846156,0.046153846153846156,0.9076923076923076,0.046153846153846156,0.046153846153846156,0,0,0,LowVerify,0
56,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.9090909090909091,0.045454545454545456,0.045454545454545456,0.9090909090909091,0.045454545454545456,0.045454545454545456,0,0,0,LowVerify,0
57,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9104477611940299,0.04477611940298507,0.04477611940298507,0.9104477611940299,0.04477611940298507,0.04477611940298507,0,0,0,LowVerify,0
58,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.9117647058823528,0.044117647058823525,0.044117647058823525,0.9117647058823528,0.044117647058823525,0.044117647058823525,0,0,0,LowVerify,0
59,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.9130434782608695,0.043478260869565216,0.043478260869565216,0.9130434782608695,0.043478260869565216,0.043478260869565216,0,0,0,LowVerify,0
60,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.9142857142857141,0.04285714285714286,0.04285714285714286,0.9142857142857141,0.04285714285714286,0.04285714285714286,0,0,0,LowVerify,0
61,0.015625,0.015625,0.015625,0.9154929577464789,0.04225352112676056,0.04225352112676056,0.9154929577464789,0.04225352112676056,0.04225352112676056,0,0,0,LowVerify,0
62,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.9166666666666665,0.041666666666666664,0.041666666666666664,0.9166666666666665,0.041666666666666664,0.041666666666666664,0,0,0,LowVerify,0
63,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.9178082191780823,0.0410958904109589,0.0410958904109589,0.9178082191780823,0.0410958904109589,0.0410958904109589,0,0,0,LowVerify,0
64,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.9189189189189189,0.04054054054054054,0.04054054054054054,0.9189189189189189,0.04054054054054054,0.04054054054054054,0,0,0,LowVerify,0
65,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.9199999999999999,0.04,0.04,0.9199999999999999,0.04,0.04,0,0,0,LowVerify,0
66,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.9210526315789475,0.039473684210526314,0.039473684210526314,0.9210526315789475,0.039473684210526314,0.039473684210526314,0,0,0,LowVerify,0
67,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.922077922077922,0.03896103896103896,0.03896103896103896,0.922077922077922,0.03896103896103896,0.03896103896103896,0,0,0,LowVerify,0
68,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.923076923076923,0.038461538461538464,0.038461538461538464,0.923076923076923,0.038461538461538464,0.038461538461538464,0,0,0,LowVerify,0
69,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.9240506329113923,0.0379746835443038,0.0379746835443038,0.9240506329113923,0.0379746835443038,0.0379746835443038,0,0,0,LowVerify,0
70,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.9249999999999999,0.037500000000000006,0.037500000000000006,0.9249999999999999,0.037500000000000006,0.037500000000000006,0,0,0,LowVerify,0
71,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.925925925925926,0.037037037037037035,0.037037037037037035,0.925925925925926,0.037037037037037035,0.037037037037037035,0,0,0,LowVerify,0
72,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.926829268292683,0.03658536585365854,0.03658536585365854,0.926829268292683,0.03658536585365854,0.03658536585365854,0,0,0,LowVerify,0
73,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.9277108433734941,0.03614457831325302,0.03614457831325302,0.9277108433734941,0.03614457831325302,0.03614457831325302,0,0,0,LowVerify,0
74,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.9285714285714285,0.03571428571428571,0.03571428571428571,0.9285714285714285,0.03571428571428571,0.03571428571428571,0,0,0,LowVerify,0
75,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.9294117647058823,0.03529411764705882,0.03529411764705882,0.9294117647058823,0.03529411764705882,0.03529411764705882,0,0,0,LowVerify,0
76,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9302325581395349,0.03488372093023256,0.03488372093023256,0.9302325581395349,0.03488372093023256,0.03488372093023256,0,0,0,LowVerify,0
77,0.0125,0.0125,0.0125,0.9310344827586207,0.034482758620689655,0.034482758620689655,0.9310344827586207,0.034482758620689655,0.034482758620689655,0,0,0,LowVerify,0
78,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.9318181818181818,0.03409090909090909,0.03409090909090909,0.9318181818181818,0.03409090909090909,0.03409090909090909,0,0,0,LowVerify,0
79,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.9325842696629214,0.033707865168539325,0.033707865168539325,0.9325842696629214,0.033707865168539325,0.033707865168539325,0,0,0,LowVerify,0
80,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.9333333333333332,0.03333333333333333,0.03333333333333333,0.9333333333333332,0.03333333333333333,0.03333333333333333,0,0,0,LowVerify,0
81,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.934065934065934,0.03296703296703297,0.03296703296703297,0.934065934065934,0.03296703296703297,0.03296703296703297,0,0,0,LowVerify,0
82,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.9347826086956522,0.03260869565217391,0.03260869565217391,0.9347826086956522,0.03260869565217391,0.03260869565217391,0,0,0,LowVerify,0
83,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.9354838709677419,0.03225806451612903,0.03225806451612903,0.9354838709677419,0.03225806451612903,0.03225806451612903,0,0,0,LowVerify,0
84,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.9361702127659574,0.031914893617021274,0.031914893617021274,0.9361702127659574,0.031914893617021274,0.031914893617021274,0,0,0,LowVerify,0
85,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.9368421052631579,0.031578947368421054,0.031578947368421054,0.9368421052631579,0.031578947368421054,0.031578947368421054,0,0,0,LowVerify,0
