iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0,0,0,BaseVerify
1,0.25,0.25,0.25,0.0,1.0,0.0,0,0,0,BaseVerify
2,0.2,0.2,0.2,0.0,1.0,0.0,0,0,0,BaseVerify
3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0,0.0,0,0,0,BaseVerify
4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1.0,0.0,0,0,0,BaseVerify
5,0.125,0.125,0.125,0.0,1.0,0.0,0,0,0,BaseVerify
6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0,0,0,BaseVerify
7,0.1,0.1,0.1,0.0,1.0,0.0,0,0,0,BaseVerify
8,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,1.0,0.0,0,0,0,BaseVerify
9,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,1.0,0.0,0,0,0,BaseVerify
10,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,1.0,0.0,0,0,0,BaseVerify
11,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,1.0,0.0,0,0,0,BaseVerify
12,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,1.0,0.0,0,0,0,BaseVerify
13,0.0625,0.0625,0.0625,0.0,1.0,0.0,0,0,0,BaseVerify
14,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,1.0,0.0,0,0,0,BaseVerify
15,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,1.0,0.0,0,0,0,BaseVerify
16,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,1.0,0.0,0,0,0,BaseVerify
17,0.05,0.05,0.05,0.0,1.0,0.0,0,0,0,BaseVerify
18,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,1.0,0.0,0,0,0,BaseVerify
19,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,1.0,0.0,0,0,0,BaseVerify
20,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,1.0,0.0,0,0,0,BaseVerify
21,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,1.0,0.0,0,0,0,BaseVerify
22,0.04,0.04,0.04,0.0,1.0,0.0,0,0,0,BaseVerify
23,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,1.0,0.0,0,0,0,BaseVerify
24,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,1.0,0.0,0,0,0,BaseVerify
25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,1.0,0.0,0,0,0,BaseVerify
26,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,1.0,0.0,0,0,0,BaseVerify
27,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,1.0,0.0,0,0,0,BaseVerify
28,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,1.0,0.0,0,0,0,BaseVerify
29,0.03125,0.03125,0.03125,0.0,1.0,0.0,0,0,0,BaseVerify
30,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,1.0,0.0,0,0,0,BaseVerify
31,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,1.0,0.0,0,0,0,BaseVerify
32,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,1.0,0.0,0,0,0,BaseVerify
33,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,1.0,0.0,1,0,0,BaseVerify
34,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,1.0,0.0,0,0,0,BaseVerify
35,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.0,1.0,0.0,0,0,0,BaseVerify
36,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.0,1.0,0.0,0,1,0,BaseVerify
37,0.05,0.05,0.025,0.0,1.0,0.0,0,0,0,BaseVerify
38,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.0,1.0,0.0,0,0,0,BaseVerify
39,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.0,1.0,0.0,0,0,0,BaseVerify
